epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5333333611488342,3.66784930229187,0.4727272689342499,0.4333333373069763,0.5,1.9475345611572266,0.5,0.5
1,0.5333333611488342,1.4273760318756104,0.6000000238418579,0.6499999761581421,0.6666666865348816,1.0632930994033813,0.6666666865348816,0.6666666865348816
2,0.8166666626930237,0.5139156579971313,0.7936508059501648,0.8333333134651184,0.6666666865348816,2.4309651851654053,0.6666666865348816,0.6666666865348816
3,0.7833333611488342,0.9351025223731995,0.8070175647735596,0.7666666507720947,0.75,0.4575367271900177,1.0,0.5833333134651184
4,0.8500000238418579,0.3967708647251129,0.8225806355476379,0.8500000238418579,0.75,0.3425133228302002,1.0,0.4166666567325592
5,0.949999988079071,0.128583624958992,0.9444444179534912,0.8500000238418579,0.75,0.4283769428730011,1.0,0.5
6,0.9666666388511658,0.15584751963615417,0.9649122953414917,0.9166666865348816,0.8333333134651184,0.4518262445926666,0.875,0.5833333134651184
7,0.949999988079071,0.21791118383407593,0.9655172228813171,0.9333333373069763,0.75,0.724078357219696,0.800000011920929,0.6666666865348816
8,0.8833333253860474,0.34376493096351624,0.8965517282485962,0.8666666746139526,0.8333333134651184,0.46918854117393494,0.9090909361839294,0.8333333134651184
9,0.949999988079071,0.09028128534555435,0.9508196711540222,0.9666666388511658,0.9166666865348816,0.36521098017692566,0.9090909361839294,0.8333333134651184
10,1.0,0.01633300632238388,0.9677419066429138,1.0,0.6666666865348816,0.4213542938232422,0.7272727489471436,0.6666666865348816
11,0.9833333492279053,0.019469620659947395,1.0,0.9833333492279053,0.9166666865348816,0.3190292418003082,0.9090909361839294,0.8333333134651184
12,0.9833333492279053,0.04493601620197296,0.9672130942344666,0.9833333492279053,0.6666666865348816,0.9090271592140198,0.7272727489471436,0.6666666865348816
13,1.0,0.010703222826123238,0.9836065769195557,1.0,0.9166666865348816,0.5567041039466858,0.8181818127632141,0.75
14,1.0,0.0014362739166244864,1.0,1.0,0.8333333134651184,0.4666668474674225,0.8999999761581421,0.75
15,1.0,0.0009253792813979089,1.0,1.0,0.8333333134651184,0.46308374404907227,0.8999999761581421,0.75
16,1.0,0.0006660576909780502,1.0,1.0,0.8333333134651184,0.4618164598941803,0.8999999761581421,0.75
17,1.0,0.0003038392460439354,1.0,1.0,0.8333333134651184,0.4486118257045746,0.8999999761581421,0.75
18,1.0,0.0002506210294086486,1.0,1.0,0.8333333134651184,0.4467138350009918,0.8999999761581421,0.75
19,1.0,0.0005287582171149552,1.0,1.0,0.8333333134651184,0.43869051337242126,0.8999999761581421,0.75
20,1.0,0.0004744652833323926,1.0,1.0,0.8333333134651184,0.43490269780158997,0.8999999761581421,0.75
21,1.0,0.00028027352527715266,1.0,1.0,0.8333333134651184,0.4361414909362793,0.8999999761581421,0.75
